NAME,DESC,VER,LINK,EMOJI,RELID,
"ScriptKitty","Cat-Themed USB Attack Platform with WiFi Control","latest","https://github.com/DevKitty-io/ScriptKitty-Firmware",,null,
"Wardriver","Scan & Map Wireless Devices! Compatible with WiGLE","v0.0-240817","https://github.com/DevKitty-io/Wardriver-Firmware",,null,
